DELIVERY_DATE,DELIVERY_HOUR,INTERVAL,ENGY
2015/1/3,7,3,14.23
2015/1/3,7,4,14.22
2015/1/3,7,5,14.23
2015/1/3,7,6,14.23
2015/1/3,7,7,14.29
2015/1/3,7,8,14.31
2015/1/3,7,9,14.33
2015/1/3,7,10,14.32
2015/1/3,7,11,14.35
2015/1/3,7,12,14.41
2015/1/3,8,1,14.31
2015/1/3,8,2,14.33
2015/1/3,8,3,19.8
2015/1/3,8,4,19.8
2015/1/3,8,5,19.81
2015/1/3,8,6,21.17
2015/1/3,8,7,22.27
2015/1/3,8,8,22.28
2015/1/3,8,9,23.31
2015/1/3,8,10,64.02
2015/1/3,8,11,64.02
2015/1/3,8,12,23.31
2015/1/3,9,1,14.21
2015/1/3,9,2,14.23
2015/1/3,9,3,14.21
2015/1/3,9,4,14.21
2015/1/3,9,5,14.22
2015/1/3,9,6,14.22
2015/1/3,9,7,14.23
2015/1/3,9,8,14.22
2015/1/3,9,9,14.23
2015/1/3,9,10,14.29
2015/1/3,9,11,14.29
2015/1/3,9,12,14.3
2015/1/3,10,1,14.2
2015/1/3,10,2,14.21
2015/1/3,10,3,14.23
2015/1/3,10,4,14.23
2015/1/3,10,5,14.23
2015/1/3,10,6,14.29
2015/1/3,10,7,14.31
2015/1/3,10,8,14.31
2015/1/3,10,9,14.32
2015/1/3,10,10,14.34
2015/1/3,10,11,14.33
2015/1/3,10,12,14.34
2015/1/3,11,1,95.03
2015/1/3,11,2,93.45
2015/1/3,11,3,93.45
2015/1/3,11,4,95.03
2015/1/3,11,5,95.03
2015/1/3,11,6,93.45
2015/1/3,11,7,95.03
2015/1/3,11,8,95.03
2015/1/3,11,9,109.49
2015/1/3,11,10,135.03
2015/1/3,11,11,153.44
2015/1/3,11,12,95.03
2015/1/3,12,1,115.03
2015/1/3,12,2,109.49
2015/1/3,12,3,115.03
2015/1/3,12,4,115.03
2015/1/3,12,5,95.03
2015/1/3,12,6,81.81
2015/1/3,12,7,42.7
2015/1/3,12,8,43.97
2015/1/3,12,9,27.67
2015/1/3,12,10,27.67
2015/1/3,12,11,27.67
2015/1/3,12,12,27.67
2015/1/3,13,1,27.67
2015/1/3,13,2,27.67
2015/1/3,13,3,27.67
2015/1/3,13,4,27.67
2015/1/3,13,5,27.67
2015/1/3,13,6,27.67
2015/1/3,13,7,27.67
2015/1/3,13,8,29.75
2015/1/3,13,9,29.41
2015/1/3,13,10,29.74
2015/1/3,13,11,27.67
2015/1/3,13,12,27.65
